command,label
ajoute un événement appel pour le 2024-09-30 à 20:00,add_event
efface l'événement appel du 2024-09-30,delete_event
déplace l'événement appel à 20:00,update_event
quand ai-je prévu appel ?,get_event
ajouter un événement dîner le 2024-12-02 à 09:00,add_event
annuler dîner prévu le 2024-12-02,delete_event
replanifier dîner pour 09:00,update_event
quand ai-je prévu dîner ?,get_event
calendrier dîner le 2024-09-16 à 09:00,add_event
efface l'événement dîner du 2024-09-16,delete_event
change l'heure de l'événement dîner à 09:00,update_event
rappelle-moi quand est dîner,get_event
planifier appel le 2024-11-26 à 11:00,add_event
annuler appel prévu le 2024-11-26,delete_event
met à jour l'événement appel pour 11:00,update_event
rappelle-moi quand est appel,get_event
prévoir appel le 2024-10-07 à 16:00,add_event
supprime l'événement appel du 2024-10-07,delete_event
replanifier appel pour 16:00,update_event
quels événements sont prévus le 2024-10-07 ?,get_event
prévoir dîner le 2024-10-29 à 11:00,add_event
retire dîner du calendrier le 2024-10-29,delete_event
change l'heure de l'événement dîner à 11:00,update_event
quand ai-je prévu dîner ?,get_event
ajoute un événement conférence pour le 2024-11-10 à 11:00,add_event
retire conférence du calendrier le 2024-11-10,delete_event
met à jour l'événement conférence pour 11:00,update_event
rappelle-moi quand est conférence,get_event
ajouter un événement appel le 2024-11-29 à 11:00,add_event
annuler appel prévu le 2024-11-29,delete_event
déplace l'événement appel à 11:00,update_event
montre-moi les événements du 2024-11-29,get_event
planifier entretien le 2024-08-29 à 16:00,add_event
supprimer l'événement entretien du 2024-08-29,delete_event
modifie l'événement entretien à 16:00,update_event
quand est ma entretien ?,get_event
planifier entretien le 2024-11-16 à 09:00,add_event
annuler entretien prévu le 2024-11-16,delete_event
déplace l'événement entretien à 09:00,update_event
montre-moi les événements du 2024-11-16,get_event
prévoir entretien le 2024-11-25 à 20:00,add_event
supprimer l'événement entretien du 2024-11-25,delete_event
modifie l'événement entretien à 20:00,update_event
quand ai-je prévu entretien ?,get_event
planifier appel le 2024-09-02 à 19:00,add_event
annuler appel prévu le 2024-09-02,delete_event
modifie l'événement appel à 19:00,update_event
quand ai-je prévu appel ?,get_event
calendrier formation le 2024-09-11 à 20:00,add_event
supprimer l'événement formation du 2024-09-11,delete_event
replanifier formation pour 20:00,update_event
quand ai-je prévu formation ?,get_event
ajoute un événement appel pour le 2024-09-05 à 14:00,add_event
supprime l'événement appel du 2024-09-05,delete_event
déplace l'événement appel à 14:00,update_event
quand ai-je prévu appel ?,get_event
calendrier réunion le 2024-11-30 à 09:00,add_event
supprime l'événement réunion du 2024-11-30,delete_event
change l'heure de l'événement réunion à 09:00,update_event
rappelle-moi quand est réunion,get_event
ajouter un événement conférence le 2024-11-17 à 20:00,add_event
supprimer l'événement conférence du 2024-11-17,delete_event
modifie l'événement conférence à 20:00,update_event
montre-moi les événements du 2024-11-17,get_event
calendrier conférence le 2024-10-09 à 09:00,add_event
annuler conférence prévu le 2024-10-09,delete_event
change l'heure de l'événement conférence à 09:00,update_event
quels événements sont prévus le 2024-10-09 ?,get_event
ajouter un événement réunion le 2024-10-02 à 19:00,add_event
supprime l'événement réunion du 2024-10-02,delete_event
replanifier réunion pour 19:00,update_event
quand est ma réunion ?,get_event
ajoute un événement appel pour le 2024-09-09 à 16:00,add_event
supprimer l'événement appel du 2024-09-09,delete_event
change l'heure de l'événement appel à 16:00,update_event
quand ai-je prévu appel ?,get_event
ajoute un événement entretien pour le 2024-11-02 à 15:00,add_event
retire entretien du calendrier le 2024-11-02,delete_event
met à jour l'événement entretien pour 15:00,update_event
montre-moi les événements du 2024-11-02,get_event
planifier appel le 2024-09-27 à 19:00,add_event
efface l'événement appel du 2024-09-27,delete_event
replanifier appel pour 19:00,update_event
montre-moi les événements du 2024-09-27,get_event
planifier réunion le 2024-10-24 à 14:00,add_event
retire réunion du calendrier le 2024-10-24,delete_event
met à jour l'événement réunion pour 14:00,update_event
quels événements sont prévus le 2024-10-24 ?,get_event
calendrier réunion le 2024-11-17 à 16:00,add_event
efface l'événement réunion du 2024-11-17,delete_event
déplace l'événement réunion à 16:00,update_event
quand ai-je prévu réunion ?,get_event
planifier conférence le 2024-11-08 à 19:00,add_event
supprime l'événement conférence du 2024-11-08,delete_event
change l'heure de l'événement conférence à 19:00,update_event
quand est ma conférence ?,get_event
prévoir entretien le 2024-09-17 à 10:00,add_event
retire entretien du calendrier le 2024-09-17,delete_event
replanifier entretien pour 10:00,update_event
rappelle-moi quand est entretien,get_event
calendrier dîner le 2024-10-07 à 15:00,add_event
supprime l'événement dîner du 2024-10-07,delete_event
met à jour l'événement dîner pour 15:00,update_event
quand est ma dîner ?,get_event
ajouter un événement conférence le 2024-09-17 à 10:00,add_event
retire conférence du calendrier le 2024-09-17,delete_event
change l'heure de l'événement conférence à 10:00,update_event
quand ai-je prévu conférence ?,get_event
calendrier formation le 2024-11-14 à 14:00,add_event
retire formation du calendrier le 2024-11-14,delete_event
change l'heure de l'événement formation à 14:00,update_event
montre-moi les événements du 2024-11-14,get_event
ajouter un événement réunion le 2024-10-19 à 15:00,add_event
annuler réunion prévu le 2024-10-19,delete_event
